provincia,municipio,poblacion
pobmun98,1950,161
pobmun98,1951,144
pobmun98,1952,330
pobmun98,1953,494
pobmun98,1954,2901
pobmun98,1955,46
pobmun98,1957,1946
pobmun98,1958,1330
pobmun98,1959,326
pobmun98,196,632
pobmun98,1960,228
pobmun98,1961,53
pobmun98,1962,183
pobmun98,1963,17
pobmun98,1964,228
pobmun98,1965,93
pobmun98,1966,56
pobmun98,1967,1598
pobmun98,1968,133
pobmun98,197,94
pobmun98,1970,93
pobmun98,1971,255
pobmun98,1972,1234
pobmun98,1973,2357
pobmun98,1974,104
pobmun98,1976,3031
pobmun98,1977,194
pobmun98,1978,173
pobmun98,1979,131
pobmun98,198,306
pobmun98,1980,56
pobmun98,1982,939
pobmun98,1983,46
pobmun98,1984,300
pobmun98,1985,28
pobmun98,1986,241
pobmun98,1987,126
pobmun98,1988,118
pobmun98,1989,2267
pobmun98,199,100
pobmun98,1990,348
pobmun98,1991,112
pobmun98,1992,1065
pobmun98,1993,345
pobmun98,1995,5191
pobmun98,1996,111
pobmun98,1997,8020
pobmun98,1998,159
pobmun98,1999,61
pobmun98,20,2823
pobmun98,200,5871
pobmun98,2000,76
pobmun98,2001,709
pobmun98,2002,150
pobmun98,2003,60
pobmun98,2004,1292
pobmun98,2005,136
pobmun98,2006,6313
pobmun98,2007,711
pobmun98,2009,2435
pobmun98,201,31
pobmun98,2010,617
pobmun98,2011,504
pobmun98,2012,246
pobmun98,2013,1606
pobmun98,2014,495
pobmun98,2016,80
pobmun98,2017,65
pobmun98,2018,141
pobmun98,2019,25
pobmun98,202,515
pobmun98,2021,10563
pobmun98,2022,140
pobmun98,2023,4016
pobmun98,2024,44
pobmun98,2026,305
pobmun98,2027,42
pobmun98,2028,4381
pobmun98,2029,314
pobmun98,203,407
pobmun98,2031,8
pobmun98,2032,509
pobmun98,2033,117
pobmun98,2034,1990
pobmun98,2035,936
pobmun98,2037,4339
pobmun98,2038,456
pobmun98,2039,194
pobmun98,204,1751
pobmun98,2040,2574
pobmun98,2042,7039
pobmun98,2043,330
pobmun98,2044,803
pobmun98,2045,79
pobmun98,2046,43
pobmun98,2047,109
pobmun98,2048,389
pobmun98,2049,587
pobmun98,205,1204
pobmun98,2050,589
pobmun98,2051,532
pobmun98,2052,3421
pobmun98,2053,100
pobmun98,2055,13930
pobmun98,2056,389
pobmun98,2057,243
pobmun98,2058,102
pobmun98,2059,1002
pobmun98,206,1595
pobmun98,2060,163
pobmun98,2061,19
pobmun98,2062,157
pobmun98,2063,1405
pobmun98,2064,155
pobmun98,2065,283
pobmun98,2066,447
pobmun98,2068,791
pobmun98,2069,197
pobmun98,207,4126
pobmun98,2070,453
pobmun98,2071,162
pobmun98,2072,194
pobmun98,2074,5273
pobmun98,2075,267
pobmun98,2076,2501
pobmun98,2077,58
pobmun98,2078,307
pobmun98,2079,441
pobmun98,208,254
pobmun98,2080,1403
pobmun98,2081,1113
pobmun98,2082,1129
pobmun98,2083,39
pobmun98,2084,28
pobmun98,2085,648
pobmun98,2086,106
pobmun98,2087,204
pobmun98,2088,2208
pobmun98,209,358467
pobmun98,2090,155
pobmun98,2091,1470
pobmun98,2093,2453
pobmun98,2094,1715
pobmun98,2095,324
pobmun98,2096,186
pobmun98,2097,1241
pobmun98,2098,759
pobmun98,2099,58
pobmun98,21,283
pobmun98,210,151
pobmun98,2101,1025
pobmun98,2102,716
pobmun98,2103,502
pobmun98,2104,849
pobmun98,2105,84
pobmun98,2107,372
pobmun98,2108,120
pobmun98,2109,571
pobmun98,211,2163
pobmun98,2110,48
pobmun98,2111,615
pobmun98,2112,370
pobmun98,2114,1790
pobmun98,2115,62
pobmun98,2116,1127
pobmun98,2117,125
pobmun98,2118,52
pobmun98,2119,698
pobmun98,212,43
pobmun98,2120,32
pobmun98,2121,163
pobmun98,2122,106
pobmun98,2123,53
pobmun98,2124,343
pobmun98,2125,566
pobmun98,2126,97
pobmun98,2127,69
pobmun98,2129,1814
pobmun98,213,394
pobmun98,2130,180
pobmun98,2131,173
pobmun98,2132,4026
pobmun98,2133,161
pobmun98,2135,18829
pobmun98,2136,147
pobmun98,2137,4302
pobmun98,2138,46
pobmun98,2139,99
pobmun98,214,24094
pobmun98,2140,11671
pobmun98,2141,310
pobmun98,2142,775
pobmun98,2143,972
pobmun98,2145,980
pobmun98,2146,2168
pobmun98,2147,163
pobmun98,2148,15
pobmun98,215,38
pobmun98,2150,210
pobmun98,2151,25
pobmun98,2153,1584
pobmun98,2154,201
pobmun98,2155,1535
pobmun98,2156,1092
pobmun98,2157,176
pobmun98,2158,320
pobmun98,2159,97
pobmun98,216,1667
pobmun98,2160,29320
pobmun98,2161,251
pobmun98,2162,188
pobmun98,2163,1862
pobmun98,2164,350
pobmun98,2166,4629
pobmun98,2167,493
pobmun98,2168,193
pobmun98,2169,46
pobmun98,217,170
pobmun98,2170,659
pobmun98,2172,1016
